transaction_id,customer_id,transaction_date,online_order,order_status,list_price,standard_cost,product_first_sold_date,product_id
1,2950,2017-02-25,False,Approved,71.49,53.62,41245.0,31
2,3120,2017-05-21,True,Approved,2091.47,388.92,41701.0,40
3,402,2017-10-16,False,Approved,1793.43,248.82,36361.0,21
4,3135,2017-08-31,False,Approved,1198.46,381.1,36145.0,15
5,787,2017-10-01,True,Approved,1765.3,709.48,42226.0,4
6,2339,2017-03-08,True,Approved,1538.99,829.65,39031.0,1
7,1542,2017-04-21,True,Approved,60.34,45.26,34165.0,45
8,2459,2017-07-15,False,Approved,1292.84,13.44,39915.0,45
9,1305,2017-08-10,False,Approved,1071.23,380.74,33455.0,30
10,3262,2017-08-30,True,Approved,1231.15,161.6,38216.0,45
11,1986,2017-01-17,False,Approved,574.64,459.71,40784.0,33
12,2783,2017-01-05,True,Approved,71.16,56.93,42172.0,21
13,1243,2017-02-26,True,Approved,1057.51,154.4,34527.0,39
14,2717,2017-09-10,False,Approved,1661.92,1479.11,34586.0,13
15,247,2017-06-11,False,Approved,1765.3,709.48,38193.0,4
16,2961,2017-10-10,False,Approved,2091.47,388.92,37873.0,40
17,2426,2017-04-03,False,Approved,1555.58,818.01,38206.0,15
18,1842,2017-06-02,False,Approved,1311.44,1167.18,33888.0,6
19,2268,2017-04-06,True,Approved,1292.84,13.44,39915.0,45
20,3002,2017-01-28,True,Approved,1538.99,829.65,37337.0,1
21,1582,2017-10-09,False,Approved,499.53,388.72,36334.0,41
22,595,2017-06-29,True,Approved,1793.43,248.82,36361.0,21
23,2001,2017-04-08,True,Approved,1793.43,248.82,42145.0,21
24,515,2017-10-18,False,Approved,1538.99,829.65,42404.0,1
25,2822,2017-06-11,False,Approved,1362.99,57.74,34079.0,47
26,2596,2017-01-10,False,Approved,1469.44,596.55,42145.0,40
27,2666,2017-04-11,True,Approved,1469.44,596.55,41047.0,40
28,76,2017-12-23,False,Approved,574.64,459.71,42560.0,33
29,3368,2017-10-13,True,Approved,360.4,270.3,42710.0,15
30,1173,2017-03-15,False,Approved,642.31,513.85,41922.0,44
31,2810,2017-09-05,True,Approved,1198.46,381.1,37539.0,15
32,3214,2017-02-18,False,Approved,1403.5,954.82,42688.0,5
33,1272,2017-03-20,False,Approved,1538.99,829.65,42404.0,1
34,2003,2017-02-28,True,Approved,1720.7,1531.42,38991.0,35
35,2171,2017-08-20,False,Approved,544.05,376.84,38647.0,11
36,3356,2017-07-07,False,Approved,1415.01,1259.36,37874.0,46
37,1040,2017-01-09,False,Approved,1842.92,1105.75,34996.0,27
38,2916,2017-12-06,False,Approved,71.49,53.62,33549.0,31
39,427,2017-09-12,False,Approved,1231.15,161.6,38693.0,45
40,2448,2017-11-28,True,Approved,544.05,376.84,38647.0,11
41,2570,2017-05-08,True,Approved,1769.64,108.76,37668.0,45
42,3398,2017-05-14,False,Approved,2083.94,675.03,41533.0,32
43,488,2017-03-17,False,Cancelled,642.31,513.85,41922.0,44
44,165,2017-12-22,False,Approved,1289.85,74.51,37668.0,29
45,2787,2017-06-07,True,Approved,1894.19,598.76,42172.0,36
46,3053,2017-06-20,False,Approved,1163.89,589.27,42560.0,31
47,475,2017-05-07,True,Approved,1057.51,154.4,34527.0,39
48,1305,2017-06-10,True,Approved,1151.96,649.49,41009.0,31
49,1251,2017-06-17,False,Approved,235.63,125.07,38206.0,22
50,3103,2017-05-10,False,Approved,642.7,211.37,37337.0,5
51,3108,2017-03-24,False,Approved,1240.31,795.1,40553.0,10
52,857,2017-11-27,False,Approved,1635.3,993.66,39427.0,4
53,3455,2017-12-21,True,Approved,227.88,136.73,33549.0,20
54,2549,2017-02-09,True,Approved,499.53,388.72,34527.0,41
55,3140,2017-09-18,False,Approved,363.01,290.41,38482.0,14
56,3406,2017-11-14,False,Approved,1720.7,1531.42,35470.0,35
57,2294,2017-08-30,True,Approved,1635.3,993.66,41434.0,4
58,1031,2017-11-14,False,Approved,100.35,75.26,36367.0,31
59,993,2017-02-15,True,Approved,1458.17,874.9,38750.0,20
60,3473,2017-12-18,False,Approved,1977.36,1759.85,41848.0,3
